Isolate,RGPD_22,RGPD_25,RGPD_28,County,State,Country ,Replicate,Growing_Region
M253,8.25,8.55,7.89,San Diego,CA,USA,1,South
CBS14422,9.34,9.9,7.88,Unknown,Unknown,Indonesia,1,NA
CBS14422,9.37,10.12,7.91,Unknown,Unknown,Indonesia,1,NA
CBS14422,9.36,9.96,7.91,Unknown,Unknown,Indonesia,1,NA
UPNS4_1,6.05,6.11,5.89,Uruapan,MC,MEXICO,1,NA
UPNS4_1,5.72,5.44,5.88,Uruapan,MC,MEXICO,1,NA
UPNS4_1,5.5,5.7,5.62,Uruapan,MC,MEXICO,1,NA
TGR3_5,5.83,5.84,6.31,Tinguind’n,MC,MEXICO,1,NA
TGR3_5,6.17,6.05,6.26,Tinguind’n,MC,MEXICO,1,NA
TGR3_5,6.28,6.1,6.36,Tinguind’n,MC,MEXICO,1,NA
TANS5_22,5.93,5.97,5.59,Tanc’taro,MC,MEXICO,1,NA
TANS5_22,5.14,5.46,6.09,Tanc’taro,MC,MEXICO,1,NA
TANS5_22,5.52,5.49,5.66,Tanc’taro,MC,MEXICO,1,NA
ARR2_2,5.11,5.19,5.33,Ario de Rosales,MC,MEXICO,1,NA
ARR2_2,5.5,5.57,5.57,Ario de Rosales,MC,MEXICO,1,NA
ARR2_2,5.58,5.62,5.54,Ario de Rosales,MC,MEXICO,1,NA
SER5_6,5.64,4.92,5.17,Salvador Escalante,MC,MEXICO,1,NA
SER5_6,5.45,5.25,5.04,Salvador Escalante,MC,MEXICO,1,NA
SER5_6,4.91,5.21,5.21,Salvador Escalante,MC,MEXICO,1,NA
PRS4_18,7.37,5.11,5.69,Perib‡n,MC,MEXICO,1,NA
PRS4_18,7.75,5.11,5.42,Perib‡n,MC,MEXICO,1,NA
PRS4_18,6.7,5.35,6.29,Perib‡n,MC,MEXICO,1,NA
SJNR6_22,5.29,4.97,5.79,San Juan Nuevo ,MC,MEXICO,1,NA
SJNR6_22,5.74,5.24,5.51,San Juan Nuevo ,MC,MEXICO,1,NA
SJNR6_22,5.64,5.11,5.9,San Juan Nuevo ,MC,MEXICO,1,NA
UPNS4_1,5.61,5.58,5.59,Uruapan,MC,MEXICO,2,NA
UPNS4_1,5.72,6.08,5.45,Uruapan,MC,MEXICO,2,NA
UPNS4_1,5.78,5.72,5.24,Uruapan,MC,MEXICO,2,NA
TGR3_5,6.5,6.21,5.93,Tinguind’n,MC,MEXICO,2,NA
TGR3_5,6.33,6.37,6.38,Tinguind’n,MC,MEXICO,2,NA
TGR3_5,6.5,6.57,6.32,Tinguind’n,MC,MEXICO,2,NA
TANS5_22,5.44,5.34,5.56,Tanc’taro,MC,MEXICO,2,NA
TANS5_22,5.21,5.65,5.79,Tanc’taro,MC,MEXICO,2,NA
TANS5_22,5.66,5.58,5.72,Tanc’taro,MC,MEXICO,2,NA
ARR2_2,5.88,6.32,5.83,Ario de Rosales,MC,MEXICO,2,NA
ARR2_2,6.1,6.12,5.92,Ario de Rosales,MC,MEXICO,2,NA
ARR2_2,5.05,6.23,6.62,Ario de Rosales,MC,MEXICO,2,NA
SER5_6,6.02,5.35,6.16,Salvador Escalante,MC,MEXICO,2,NA
SER5_6,5.89,5.43,5.8,Salvador Escalante,MC,MEXICO,2,NA
SER5_6,6.46,5.55,6.41,Salvador Escalante,MC,MEXICO,2,NA
PRS4_18,5.49,6.03,6.42,Perib‡n,MC,MEXICO,2,NA
PRS4_18,5.85,5.95,6.13,Perib‡n,MC,MEXICO,2,NA
PRS4_18,5.25,6.42,6.21,Perib‡n,MC,MEXICO,2,NA
SJNR6_22,4.84,4.79,5.83,San Juan Nuevo ,MC,MEXICO,2,NA
SJNR6_22,5.78,5.41,5.16,San Juan Nuevo ,MC,MEXICO,2,NA
SJNR6_22,5.88,5.56,4.98,San Juan Nuevo ,MC,MEXICO,2,NA
Pc5241,6.6,6.56,6.74,San Diego,CA,USA,1,South
Pc5241,6.75,6.57,7.09,San Diego,CA,USA,1,South
Pc5241,6.38,6.87,6.72,San Diego,CA,USA,1,South
Pc5241,6.54,6.39,6.15,San Diego,CA,USA,2,South
Pc5241,6.19,6.3,5.84,San Diego,CA,USA,2,South
Pc5241,7.3,6.36,5.57,San Diego,CA,USA,2,South
Pc338,5.51,5.32,5.11,San Diego,CA,USA,1,South
Pc338,4.68,5.52,5.32,San Diego,CA,USA,1,South
Pc338,5.24,5.73,5.57,San Diego,CA,USA,1,South
Pc338,5.12,4.76,5.16,San Diego,CA,USA,2,South
Pc338,5.45,5.1,5.49,San Diego,CA,USA,2,South
Pc338,5,5.21,4.98,San Diego,CA,USA,2,South
UPNR1_1,5.03,5.54,4.72,Uruapan,MC,MEXICO,1,NA
UPNR1_1,2.59,5.47,4.79,Uruapan,MC,MEXICO,1,NA
UPNR1_1,5.07,5.22,5.68,Uruapan,MC,MEXICO,1,NA
UPNR1_1,6.08,6.36,6.35,Uruapan,MC,MEXICO,2,NA
UPNR1_1,5.8,5.11,5.87,Uruapan,MC,MEXICO,2,NA
UPNR1_1,6.06,6.3,5.21,Uruapan,MC,MEXICO,2,NA
PRS1_1,8.17,7.86,5.59,Perib‡n,MC,MEXICO,1,NA
PRS1_1,8.3,7.86,5.87,Perib‡n,MC,MEXICO,1,NA
PRS1_1,8.1,8.03,5.66,Perib‡n,MC,MEXICO,1,NA
PRS1_1,8.37,8.21,6.16,Perib‡n,MC,MEXICO,2,NA
PRS1_1,8.69,8.36,5.81,Perib‡n,MC,MEXICO,2,NA
PRS1_1,8.63,8.39,6.32,Perib‡n,MC,MEXICO,2,NA
TANR3_5,7.86,8.47,6.09,Tanc’taro,MC,MEXICO,1,NA
TANR3_5,8.19,8.52,6.15,Tanc’taro,MC,MEXICO,1,NA
TANR3_5,8.04,8.53,6.08,Tanc’taro,MC,MEXICO,1,NA
TANR3_5,8.33,8.29,6.55,Tanc’taro,MC,MEXICO,2,NA
TANR3_5,8.2,7.87,5.95,Tanc’taro,MC,MEXICO,2,NA
TANR3_5,8.13,8.04,6.75,Tanc’taro,MC,MEXICO,2,NA
