Isolate,Replicate,EC50,County,State,Growing_Region,Country,Log10_EC50,Experiment
UPNS4-1,2,58.27,Uruapan,MC,NA,MEXICO,1.765445018,2
UPNS4-1,3,57.1,Uruapan,MC,NA,MEXICO,1.756636108,2
UPNR1-1,1,23.28,Uruapan,MC,NA,MEXICO,1.366982976,2
UPNR1-1,2,36.23,Uruapan,MC,NA,MEXICO,1.559068334,2
UPNR1-1,3,47.86,Uruapan,MC,NA,MEXICO,1.679972694,2
SER5-6,1,59.11,Salvador Escalante,MC,NA,MEXICO,1.771660959,2
SER5-6,2,61.4,Salvador Escalante,MC,NA,MEXICO,1.788168371,2
SER5-6,3,67.84,Salvador Escalante,MC,NA,MEXICO,1.831485839,2
ZCA5-3,1,22.83,Ziracuaretiro,MC,NA,MEXICO,1.358505911,2
ZCA5-3,2,39.7,Ziracuaretiro,MC,NA,MEXICO,1.598790507,2
ZCA5-3,3,42.83,Ziracuaretiro,MC,NA,MEXICO,1.631748074,2
St6a,1,52.69,San Diego,CA,South,USA,1.721728199,1
St6a,2,65.6,San Diego,CA,South,USA,1.816903839,1
St6a,3,58.07,San Diego,CA,South,USA,1.763951826,1
St5b,1,72.5,San Diego,CA,South,USA,1.860338007,1
St5b,2,73.56,San Diego,CA,South,USA,1.866641721,1
St5b,3,67.74,San Diego,CA,South,USA,1.830845192,1
508,1,111.19,San Diego,CA,South,USA,2.04606573,1
508,2,75.39,San Diego,CA,South,USA,1.877313743,1
508,3,91.01,San Diego,CA,South,USA,1.959089114,1
520,1,98.78,San Diego,CA,South,USA,1.994669022,1
520,2,66.98,San Diego,CA,South,USA,1.825945143,1
520,3,92.77,San Diego,CA,South,USA,1.967407557,1
St6a,1,56.86,San Diego,CA,South,USA,1.754806855,2
St6a,2,64.8,San Diego,CA,South,USA,1.811575006,2
St6a,3,63.37,San Diego,CA,South,USA,1.801883707,2
St5b,1,67.61,San Diego,CA,South,USA,1.830010936,2
St5b,2,67.07,San Diego,CA,South,USA,1.826528306,2
St5b,3,73.89,San Diego,CA,South,USA,1.868585667,2
508,1,58.73,San Diego,CA,South,USA,1.768860001,2
508,2,56.71,San Diego,CA,South,USA,1.753659647,2
508,3,63.96,San Diego,CA,South,USA,1.805908455,2
520,1,52.33,San Diego,CA,South,USA,1.718750735,2
520,2,65.39,San Diego,CA,South,USA,1.815511337,2
520,3,73.64,San Diego,CA,South,USA,1.86711378,2
467,1,315,San Diego,CA,South,USA,2.498310554,1
467,2,253.85,San Diego,CA,South,USA,2.404577168,1
467,3,215.67,San Diego,CA,South,USA,2.333789738,1
473,1,278.39,San Diego,CA,South,USA,2.444653631,1
473,2,267.67,San Diego,CA,South,USA,2.427599699,1
473,3,273.38,San Diego,CA,South,USA,2.436766739,1
MW4-1,1,283.75,San Diego,CA,South,USA,2.45293587,1
MW4-1,2,312.66,San Diego,CA,South,USA,2.495072324,1
MW4-1,3,305.67,San Diego,CA,South,USA,2.485252817,1
ME9-1,1,300.31,San Diego,CA,South,USA,2.477569794,1
ME9-1,2,284.55,San Diego,CA,South,USA,2.45415859,1
ME9-1,3,271.86,San Diego,CA,South,USA,2.434345313,1
ME1-1,1,173.52,San Diego,CA,South,USA,2.239349539,1
ME1-1,2,243.69,San Diego,CA,South,USA,2.386837708,1
ME1-1,3,216.85,San Diego,CA,South,USA,2.336159426,1
467,1,268.21,San Diego,CA,South,USA,2.428474966,2
467,2,242.76,San Diego,CA,South,USA,2.385177129,2
467,3,240,San Diego,CA,South,USA,2.380211242,2
473,1,189.31,San Diego,CA,South,USA,2.277173555,2
473,2,257.03,San Diego,CA,South,USA,2.409983816,2
473,3,207.59,San Diego,CA,South,USA,2.317206429,2
MW4-1,1,364.27,San Diego,CA,South,USA,2.561423406,2
MW4-1,2,248.34,San Diego,CA,South,USA,2.395046677,2
MW4-1,3,322.93,San Diego,CA,South,USA,2.509108393,2
ME9-1,1,328.56,San Diego,CA,South,USA,2.51661469,2
ME9-1,2,271.26,San Diego,CA,South,USA,2.433385757,2
ME9-1,3,320.91,San Diego,CA,South,USA,2.506383251,2
ME1-1,1,197.46,San Diego,CA,South,USA,2.295479133,2
ME1-1,2,184.56,San Diego,CA,South,USA,2.266137582,2
ME1-1,3,223.65,San Diego,CA,South,USA,2.349568903,2
PRS1-1,1,20.14,Perib‡n,MC,NA,MEXICO,1.303980613,2
PRS1-1,2,19.53,Perib‡n,MC,NA,MEXICO,1.290653658,2
PRS1-1,3,18.66,Perib‡n,MC,NA,MEXICO,1.270810481,2
TANR3-5,1,24.64,Tanc’taro,MC,NA,MEXICO,1.391589057,2
TANR3-5,2,26.79,Tanc’taro,MC,NA,MEXICO,1.427945892,2
TANR3-5,3,26.25,Tanc’taro,MC,NA,MEXICO,1.419119074,2
M395,1,284.65,San Diego,CA,South,USA,2.454314055,2
M395,2,327.85,San Diego,CA,South,USA,2.515670399,2
M395,3,322.36,San Diego,CA,South,USA,2.508334415,2
PRS1-1,1,14,Perib‡n,MC,NA,MEXICO,1.146263027,1
PRS1-1,2,19.35,Perib‡n,MC,NA,MEXICO,1.286658652,1
PRS1-1,3,18.65,Perib‡n,MC,NA,MEXICO,1.270662703,1
TANR3-5,1,21.03,Tanc’taro,MC,NA,MEXICO,1.322892784,1
TANR3-5,2,20.44,Tanc’taro,MC,NA,MEXICO,1.310502076,1
TANR3-5,3,21.16,Tanc’taro,MC,NA,MEXICO,1.325469497,1
M395,1,334.73,San Diego,CA,South,USA,2.52469442,1
M395,2,259.96,San Diego,CA,South,USA,2.414908164,1
M395,3,285.01,San Diego,CA,South,USA,2.454863918,1
338,1,141.99,San Diego,CA,South,USA,2.152257759,1
338,2,163.28,San Diego,CA,South,USA,2.212932992,1
338,3,170.26,San Diego,CA,South,USA,2.231112629,1
336,1,154.54,San Diego,CA,South,USA,2.189040908,1
336,2,147.3,San Diego,CA,South,USA,2.168202747,1
336,3,155.85,San Diego,CA,South,USA,2.192706807,1
ARR2-2,1,119.28,Ario de Rosales,MC,NA,MEXICO,2.07656763,1
ARR2-2,2,116.71,Ario de Rosales,MC,NA,MEXICO,2.067108069,1
ARR2-2,3,105.26,Ario de Rosales,MC,NA,MEXICO,2.022263366,1
SJNR6-22,1,90.9,San Juan Nuevo ,MC,NA,MEXICO,1.958563883,1
SJNR6-22,2,107.6,San Juan Nuevo ,MC,NA,MEXICO,2.031812271,1
SJNR6-22,3,99.02,San Juan Nuevo ,MC,NA,MEXICO,1.995722922,1
514,1,98.4,San Diego,CA,South,USA,1.992995098,1
514,2,103.72,San Diego,CA,South,USA,2.015862508,1
514,3,109.43,San Diego,CA,South,USA,2.039136399,1
338,1,94.6,San Diego,CA,South,USA,1.975891136,2
338,2,103.75,San Diego,CA,South,USA,2.015988105,2
338,3,80.22,San Diego,CA,South,USA,1.904282658,2
336,1,100.29,San Diego,CA,South,USA,2.001257631,2
336,2,88.79,San Diego,CA,South,USA,1.948364056,2
336,3,101.16,San Diego,CA,South,USA,2.005008821,2
ARR2-2,1,67.9,Ario de Rosales,MC,NA,MEXICO,1.831869774,2
ARR2-2,2,69.05,Ario de Rosales,MC,NA,MEXICO,1.839163683,2
ARR2-2,3,79.62,Ario de Rosales,MC,NA,MEXICO,1.901022173,2
SJNR6-22,1,77.33,San Juan Nuevo ,MC,NA,MEXICO,1.88834801,2
SJNR6-22,2,65.03,San Juan Nuevo ,MC,NA,MEXICO,1.813113754,2
SJNR6-22,3,70.82,San Juan Nuevo ,MC,NA,MEXICO,1.850155922,2
514,1,83.87,San Diego,CA,South,USA,1.923606643,2
514,2,74.4,San Diego,CA,South,USA,1.871572936,2
514,3,81.05,San Diego,CA,South,USA,1.908753019,2
