Isolate,region,latitude,longitude,Cluster1,Cluster2,Cluster3,Cluster4
P2110,1,-0.73994,100.800005,0,1,0,0
P3658,2,-4.760202199,142.3198274,0,0,1,0
P6339,3,-8.165638765,147.0878938,0,1,0,0
P6377,4,23.3553477,120.8968442,0,0,0,1
P6379,5,24.48012907,121.4901059,0,0,0,1
