ID,name,location,Country,location_Simple,Year,County
SER4_5,SER4_5,Salvador Escalante,MX,MX,2019,"Michoacan, MX"
SER5_6,SER5_6,Salvador Escalante,MX,MX,2019,"Michoacan, MX"
SJNR2_3,SJNR2_3,San Juan Nuevo,MX,MX,2019,"Michoacan, MX"
SJNR3_3,SJNR3_3,San Juan Nuevo,MX,MX,2019,"Michoacan, MX"
SJNR3_4,SJNR3_4,San Juan Nuevo,MX,MX,2019,"Michoacan, MX"
SJNR4_12,SJNR4_12,San Juan Nuevo,MX,MX,2019,"Michoacan, MX"
SJNR5_4,SJNR5_4,San Juan Nuevo,MX,MX,2019,"Michoacan, MX"
SJNR6_22,SJNR6_22,San Juan Nuevo ,MX,MX,2019,"Michoacan, MX"
St5b,St5b,San Diego,CA,CA-south,2010,San Diego
St6a,St6a,San Diego,CA,CA-south,2010,San Diego
TANR1_5,TANR1_5,Tancitaro,MX,MX,2019,"Michoacan, MX"
TANR2_7,TANR2_7,Tancitaro,MX,MX,2019,"Michoacan, MX"
TANR3_5,TANR3_5,Tancitaro,MX,MX,2019,"Michoacan, MX"
TANR4_4,TANR4_4,Tancitaro,MX,MX,2019,"Michoacan, MX"
TANS5_22,TANS5_22,Tancitaro,MX,MX,2019,"Michoacan, MX"
TGR1_5,TGR1_5,Tinguindin,MX,MX,2019,"Michoacan, MX"
TGR2_3,TGR2_3,Tinguindin,MX,MX,2019,"Michoacan, MX"
TGR3_5,TGR3_5,Tinguindin,MX,MX,2019,"Michoacan, MX"
TGR4_3,TGR4_3,Tinguindin,MX,MX,2019,"Michoacan, MX"
TGR4_6,TGR4_6,Tinguindin,MX,MX,2019,"Michoacan, MX"
UPNR1_1,UPNR1_1,Uruapan,MX,MX,2019,"Michoacan, MX"
UPNR4_4,UPNR4_4,Uruapan,MX,MX,2019,"Michoacan, MX"
UPNS2_5,UPNS2_5,Uruapan,MX,MX,2019,"Michoacan, MX"
UPNS3_4,UPNS3_4,Uruapan,MX,MX,2019,"Michoacan, MX"
UPNS4_1,UPNS4_1,Uruapan,MX,MX,2019,"Michoacan, MX"
Van3,Van3,Ventura,CA,CA-north,2009,Ventura
W3_1,W3_1,Orange,CA,CA-north,2017,Orange
ZCA1_4,ZCA1_4,Ziracuaretiro,MX,MX,2019,"Michoacan, MX"
ZCA2_2,ZCA2_2,Ziracuaretiro,MX,MX,2019,"Michoacan, MX"
ZCA3_2,ZCA3_2,Ziracuaretiro,MX,MX,2019,"Michoacan, MX"
ZCA4_3,ZCA4_3,Ziracuaretiro,MX,MX,2019,"Michoacan, MX"
ZCA5_3,ZCA5_3,Ziracuaretiro,MX,MX,2019,"Michoacan, MX"
ZITR2_5,ZITR2_5,Zitacuaro,MX,MX,2019,"Michoacan, MX"
ZITR3_3,ZITR3_3,Zitacuaro,MX,MX,2019,"Michoacan, MX"
ZITR3_4,ZITR3_4,Zitacuaro,MX,MX,2019,"Michoacan, MX"
ZITR5_5,ZITR5_5,Zitacuaro,MX,MX,2019,"Michoacan, MX"
ZITR5_6,ZITR5_6,Zitacuaro,MX,MX,2019,"Michoacan, MX"
